ensemble_name,members,weights,oof_auc
weighted__catboost__eng_no_time=0.40__lightgbm__eng_no_time_knn=0.30__xgboost__eng_no_time_knn=0.30,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.4, 0.30000000000000004, 0.29999999999999993]",0.7496810921796391
weighted__catboost__eng_no_time=0.45__lightgbm__eng_no_time_knn=0.20__xgboost__eng_no_time_knn=0.35,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.45, 0.2, 0.35000000000000003]",0.7496683612543701
weighted__catboost__eng_no_time=0.35__lightgbm__eng_no_time_knn=0.40__xgboost__eng_no_time_knn=0.25,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.35000000000000003, 0.4, 0.2499999999999999]",0.7495282220030637
weighted__catboost__eng_no_time=0.50__lightgbm__eng_no_time_knn=0.10__xgboost__eng_no_time_knn=0.40,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.5, 0.1, 0.4]",0.7494828711778353
weighted__catboost__eng_no_time=0.30__lightgbm__eng_no_time_knn=0.60__xgboost__eng_no_time_knn=0.10,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.30000000000000004, 0.6000000000000001, 0.09999999999999987]",0.749395017886145
weighted__catboost__eng_no_time=0.30__lightgbm__eng_no_time_knn=0.55__xgboost__eng_no_time_knn=0.15,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.30000000000000004, 0.55, 0.1499999999999999]",0.7493521686629636
weighted__catboost__eng_no_time=0.30__lightgbm__eng_no_time_knn=0.65__xgboost__eng_no_time_knn=0.05,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.30000000000000004, 0.65, 0.04999999999999993]",0.7493503110376812
weighted__catboost__eng_no_time=0.40__lightgbm__eng_no_time_knn=0.25__xgboost__eng_no_time_knn=0.35,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.4, 0.25, 0.35]",0.7493052945850038
weighted__catboost__eng_no_time=0.35__lightgbm__eng_no_time_knn=0.35__xgboost__eng_no_time_knn=0.30,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.35000000000000003, 0.35000000000000003, 0.2999999999999999]",0.749231584013797
weighted__catboost__eng_no_time=0.45__lightgbm__eng_no_time_knn=0.15__xgboost__eng_no_time_knn=0.40,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.45, 0.15000000000000002, 0.4]",0.7492152121429745
weighted__catboost__eng_no_time=0.30__lightgbm__eng_no_time_knn=0.50__xgboost__eng_no_time_knn=0.20,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.30000000000000004, 0.5, 0.19999999999999996]",0.7492019734667951
weighted__catboost__eng_no_time=0.55__lightgbm__eng_no_time_knn=0.00__xgboost__eng_no_time_knn=0.45,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.55, 0.0, 0.44999999999999996]",0.7491835210556562
